country,role,facilities
Nigeria,Gas source,"Itoki terminal, Lagos Beach Compressor Station, branch office Ikeja, field office Badagry"
Ghana,"Headquarters, largest delivery market","HQ Accra, delivery points Tema and Takoradi"
Togo,Delivery market,"Field office and delivery point, Lome"
Benin,Delivery market,"Field office and delivery point, Cotonou"
