year,event
1982,Project conceived by ECOWAS
1991,Sponsored by the World Bank
1999,Memorandum of Understanding signed
2003,"Project implementation agreement signed, construction begins"
2010,NEPAD Award for Excellence in Project Infrastructure and Transport
2011,"Commercial Operation Date, March 1"
2022,10-year anniversary of commercial operations
2025,"Record gas delivery peak, 217,000 mmbtu/day"
