shareholder,stake_percent
Chevron West African Gas Pipeline Ltd,36.9
Nigerian National Petroleum Corporation,24.9
Shell Overseas Holdings Limited,17.9
Takoradi Power Company Limited,16.3
Societe Togolaise de Gaz,2.0
Societe BenGaz S.A.,2.0
