attribute,value
Total length,678 km
Onshore segment,"56 km, 30 inch pipe, Itoki to Lagos Beach"
Offshore segment,"569 km, 20 inch pipe, Lagos to Takoradi"
Water depth range,30 to 70 meters
Capacity,"474 MMscf/day, ~2,500-3,000 MW potential"
Delivery points,"Cotonou (Benin), Lome (Togo), Tema and Takoradi (Ghana)"
Commercial operations began,"March 1, 2011"
