year,event
2011,Commercial operations begin
2016,Nigeria-Morocco Gas Pipeline expansion proposed
2017,Ghana-Cote d'Ivoire expansion proposed
2021,"Ghana-Cote d'Ivoire expansion shows no progress, considered cancelled"
2022,10-year commercial operations anniversary
2025,WAGPA signals plans to extend to landlocked countries and new coastal markets
2025,"Record gas delivery, 217,000 mmbtu/day, 22% YoY growth, 99% asset availability"
